Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F)
Location 11,-110.595,31.338,4659,5/24/20,0,45.6,64.1,82.7
Location 11,-110.595,31.338,4659,5/25/20,0,46.1,63.9,81.8
Location 11,-110.595,31.338,4659,5/26/20,0,46.3,65.8,85.3
Location 11,-110.595,31.338,4659,5/27/20,0,47,68.6,90.2
Location 11,-110.595,31.338,4659,5/28/20,0,51.4,72.7,93.9
Location 11,-110.595,31.338,4659,5/29/20,0,55.2,75.4,95.7
Location 11,-110.595,31.338,4659,5/30/20,0.06,58.5,77.7,97
Location 11,-110.595,31.338,4659,5/31/20,0,58.6,77,95.5
Location 11,-110.595,31.338,4659,6/1/20,0.13,58.7,76.2,93.8
Location 11,-110.595,31.338,4659,6/2/20,0.01,58.6,73.9,89.2
Location 11,-110.595,31.338,4659,6/3/20,0.06,55.5,73.4,91.4
Location 11,-110.595,31.338,4659,6/4/20,0,57.3,76.6,96
Location 11,-110.595,31.338,4659,6/5/20,0,58.4,77.6,96.7
Location 11,-110.595,31.338,4659,6/6/20,0,58.7,77.9,97.1
Location 11,-110.595,31.338,4659,6/7/20,0,52.4,71.2,90
Location 11,-110.595,31.338,4659,6/8/20,0,53.8,69.2,84.6
Location 11,-110.595,31.338,4659,6/9/20,0,42.7,62.9,83
Location 11,-110.595,31.338,4659,6/10/20,0,42.5,64.4,86.4
Location 11,-110.595,31.338,4659,6/11/20,0,47,70.1,93.2
Location 11,-110.595,31.338,4659,6/12/20,0,55.9,75.9,95.9
Location 11,-110.595,31.338,4659,6/13/20,0,56.4,76.9,97.4
Location 11,-110.595,31.338,4659,6/14/20,0,61,78.2,95.5
Location 11,-110.595,31.338,4659,6/15/20,0,62.7,77.9,93
Location 11,-110.595,31.338,4659,6/16/20,0.05,61.8,77.9,93.9
Location 11,-110.595,31.338,4659,6/17/20,0,57.3,75.2,93.1
Location 11,-110.595,31.338,4659,6/18/20,0,53.2,72.2,91.3
Location 11,-110.595,31.338,4659,6/19/20,0,47.6,69.1,90.7
Location 11,-110.595,31.338,4659,6/20/20,0,49,70.3,91.6
Location 11,-110.595,31.338,4659,6/21/20,0,53.5,73.7,94
Location 11,-110.595,31.338,4659,6/22/20,0,54.3,74.8,95.3
Location 11,-110.595,31.338,4659,6/23/20,0,55.4,75.6,95.8
Location 11,-110.595,31.338,4659,6/24/20,0,56.1,76.6,97.1
Location 11,-110.595,31.338,4659,6/25/20,0,57.1,78.3,99.5
Location 11,-110.595,31.338,4659,6/26/20,0,59.6,79.3,99.1
Location 11,-110.595,31.338,4659,6/27/20,0,58.6,78.3,98.1
Location 11,-110.595,31.338,4659,6/28/20,0.01,64.4,77.2,90
Location 11,-110.595,31.338,4659,6/29/20,0,63.3,76.1,88.8
Location 11,-110.595,31.338,4659,6/30/20,0,60.4,73.8,87.1
Location 11,-110.595,31.338,4659,7/1/20,0,58.7,73.3,87.9
Location 11,-110.595,31.338,4659,7/2/20,0.04,57.7,73.3,88.9
Location 11,-110.595,31.338,4659,7/3/20,0.36,57.3,69.1,80.9
Location 11,-110.595,31.338,4659,7/4/20,0,57.3,74.4,91.4
Location 11,-110.595,31.338,4659,7/5/20,0.02,62.4,78.9,95.4
Location 11,-110.595,31.338,4659,7/6/20,0,62.3,79.9,97.5
Location 11,-110.595,31.338,4659,7/7/20,0,63.6,81.1,98.6
Location 11,-110.595,31.338,4659,7/8/20,0,64,81.3,98.5
Location 11,-110.595,31.338,4659,7/9/20,0,66.2,81.7,97.2
Location 11,-110.595,31.338,4659,7/10/20,0.11,66,81.5,97
Location 11,-110.595,31.338,4659,7/11/20,0.15,65.1,82.2,99.2
Location 11,-110.595,31.338,4659,7/12/20,0.21,64.4,82.2,100
Location 11,-110.595,31.338,4659,7/13/20,0.02,62.7,82.8,102.8
Location 11,-110.595,31.338,4659,7/14/20,0,68.2,82.5,96.8
Location 11,-110.595,31.338,4659,7/15/20,0.01,63.3,80.4,97.4
Location 11,-110.595,31.338,4659,7/16/20,0.38,61.4,76.7,92.1
Location 11,-110.595,31.338,4659,7/17/20,0.16,59.7,76.7,93.7
Location 11,-110.595,31.338,4659,7/18/20,0,64.4,77.9,91.4
Location 11,-110.595,31.338,4659,7/19/20,0,65.7,79.5,93.2
Location 11,-110.595,31.338,4659,7/20/20,0,65.8,79.5,93.2
Location 11,-110.595,31.338,4659,7/21/20,0,66.3,79.6,92.9
Location 11,-110.595,31.338,4659,7/22/20,0.07,63.4,78.3,93.2
Location 11,-110.595,31.338,4659,7/23/20,0.28,60.6,72.3,84
Location 11,-110.595,31.338,4659,7/24/20,0.36,62.7,69.7,76.6
Location 11,-110.595,31.338,4659,7/25/20,0.55,62.9,70.8,78.6
Location 11,-110.595,31.338,4659,7/26/20,0.01,58.5,72.2,85.9
Location 11,-110.595,31.338,4659,7/27/20,0.05,59.7,75.8,92
Location 11,-110.595,31.338,4659,7/28/20,0.09,61.8,75.5,89.3
Location 11,-110.595,31.338,4659,7/29/20,0.1,62.3,78.8,95.3
Location 11,-110.595,31.338,4659,7/30/20,0,62.9,80.6,98.3
Location 11,-110.595,31.338,4659,7/31/20,0,63.6,82.3,101
Location 11,-110.595,31.338,4659,8/1/20,0.18,66,83.5,100.9
Location 11,-110.595,31.338,4659,8/2/20,0.18,63.2,80.4,97.6
Location 11,-110.595,31.338,4659,8/3/20,0.35,62.6,79,95.4
Location 11,-110.595,31.338,4659,8/4/20,0.11,63.1,79.1,95.1
Location 11,-110.595,31.338,4659,8/5/20,0,61.1,78,94.8
Location 11,-110.595,31.338,4659,8/6/20,0,61,77.7,94.5
Location 11,-110.595,31.338,4659,8/7/20,0,60.6,77.7,94.8
Location 11,-110.595,31.338,4659,8/8/20,0,61.8,77.1,92.4
Location 11,-110.595,31.338,4659,8/9/20,0,60.9,78.4,95.8
Location 11,-110.595,31.338,4659,8/10/20,0.02,60.9,78.1,95.3
Location 11,-110.595,31.338,4659,8/11/20,0,61.1,78.9,96.8
Location 11,-110.595,31.338,4659,8/12/20,0.03,66.5,81.2,95.9
Location 11,-110.595,31.338,4659,8/13/20,0.07,63.8,80.5,97.1
Location 11,-110.595,31.338,4659,8/14/20,0.01,64.1,80.9,97.7
Location 11,-110.595,31.338,4659,8/15/20,0.02,67.6,83.6,99.6
Location 11,-110.595,31.338,4659,8/16/20,0.36,64.3,82,99.8
Location 11,-110.595,31.338,4659,8/17/20,0.11,63.6,81.1,98.6
Location 11,-110.595,31.338,4659,8/18/20,0,61.3,78.7,96.1
Location 11,-110.595,31.338,4659,8/19/20,0,60.9,78.5,96.2
Location 11,-110.595,31.338,4659,8/20/20,0,61.4,80.1,98.8
Location 11,-110.595,31.338,4659,8/21/20,0.04,65.3,81,96.6
Location 11,-110.595,31.338,4659,8/22/20,0,64.1,77.6,91.2
Location 11,-110.595,31.338,4659,8/23/20,0.2,63.2,78.6,93.9
Location 11,-110.595,31.338,4659,8/24/20,0,63.3,80.2,97.1
Location 11,-110.595,31.338,4659,8/25/20,0,62.2,80.1,98
Location 11,-110.595,31.338,4659,8/26/20,0,63.4,79.5,95.7
Location 11,-110.595,31.338,4659,8/27/20,0,62.7,79.8,96.9
Location 11,-110.595,31.338,4659,8/28/20,0,61.8,80.5,99.3
Location 11,-110.595,31.338,4659,8/29/20,0.12,64,80.4,96.9
Location 11,-110.595,31.338,4659,8/30/20,0.39,64.5,77.4,90.2
Location 11,-110.595,31.338,4659,8/31/20,0.05,64,69.9,75.8
Location 11,-110.595,31.338,4659,9/1/20,0.43,58.5,66,73.4
Location 11,-110.595,31.338,4659,9/2/20,0.01,59.2,71.8,84.3
Location 11,-110.595,31.338,4659,9/3/20,0,56.6,72,87.4
Location 11,-110.595,31.338,4659,9/4/20,0,56.2,74.3,92.5
Location 11,-110.595,31.338,4659,9/5/20,0,56.1,76.4,96.7
Location 11,-110.595,31.338,4659,9/6/20,0,56.3,75.4,94.4
Location 11,-110.595,31.338,4659,9/7/20,0,59,77.2,95.3
Location 11,-110.595,31.338,4659,9/8/20,0,64.8,78.9,93
Location 11,-110.595,31.338,4659,9/9/20,0,64.1,73.9,83.6
Location 11,-110.595,31.338,4659,9/10/20,0,51.6,65.9,80.3
Location 11,-110.595,31.338,4659,9/11/20,0,48.4,65.5,82.7
Location 11,-110.595,31.338,4659,9/12/20,0,48.3,64.7,81.1
Location 11,-110.595,31.338,4659,9/13/20,0,49.5,67.8,86.2
Location 11,-110.595,31.338,4659,9/14/20,0,53.8,69.8,85.9
Location 11,-110.595,31.338,4659,9/15/20,0,52.4,69,85.7
Location 11,-110.595,31.338,4659,9/16/20,0,51.4,69.7,88
Location 11,-110.595,31.338,4659,9/17/20,0,51.4,71.7,91.9
Location 11,-110.595,31.338,4659,9/18/20,0,51.4,70.9,90.4
Location 11,-110.595,31.338,4659,9/19/20,0,51.8,70.1,88.5
Location 11,-110.595,31.338,4659,9/20/20,0,52.6,70.9,89.2
Location 11,-110.595,31.338,4659,9/21/20,0,57.7,73.8,89.9
Location 11,-110.595,31.338,4659,9/22/20,0,54.7,72.1,89.4
Location 11,-110.595,31.338,4659,9/23/20,0,54.9,71.5,88.1
Location 11,-110.595,31.338,4659,9/24/20,0,52.9,71.1,89.4
Location 11,-110.595,31.338,4659,9/25/20,0,52.1,72.5,92.9
Location 11,-110.595,31.338,4659,9/26/20,0,53.2,72.9,92.5
Location 11,-110.595,31.338,4659,9/27/20,0,52.2,71.8,91.4
Location 11,-110.595,31.338,4659,9/28/20,0,50.1,70.3,90.4
Location 11,-110.595,31.338,4659,9/29/20,0,48.8,69.3,89.8
Location 11,-110.595,31.338,4659,9/30/20,0,46.9,68.3,89.7
Location 11,-110.595,31.338,4659,10/1/20,0,47.3,70.1,92.9
Location 11,-110.595,31.338,4659,10/2/20,0,46.6,70.5,94.4
Location 11,-110.595,31.338,4659,10/3/20,0,46.7,70.6,94.4
Location 11,-110.595,31.338,4659,10/4/20,0,47.3,70,92.6
Location 11,-110.595,31.338,4659,10/5/20,0,46,70,93.9
Location 11,-110.595,31.338,4659,10/6/20,0,47.4,70.1,92.9
Location 11,-110.595,31.338,4659,10/7/20,0,45.6,69,92.4
Location 11,-110.595,31.338,4659,10/8/20,0,46.2,69.7,93.2
Location 11,-110.595,31.338,4659,10/9/20,0,45.3,67.5,89.7
Location 11,-110.595,31.338,4659,10/10/20,0,44.2,65.8,87.4
Location 11,-110.595,31.338,4659,10/11/20,0,44.2,64.9,85.5
Location 11,-110.595,31.338,4659,10/12/20,0,43.7,64.1,84.5
Location 11,-110.595,31.338,4659,10/13/20,0,44.6,66.8,89
Location 11,-110.595,31.338,4659,10/14/20,0,48.8,70.7,92.7
Location 11,-110.595,31.338,4659,10/15/20,0,48.7,70.3,91.9
Location 11,-110.595,31.338,4659,10/16/20,0,46,67,88
Location 11,-110.595,31.338,4659,10/17/20,0,45.2,68.8,92.3
Location 11,-110.595,31.338,4659,10/18/20,0,47.2,68.5,89.8
Location 11,-110.595,31.338,4659,10/19/20,0,44.2,66.3,88.4
Location 11,-110.595,31.338,4659,10/20/20,0,42.2,65.1,88
Location 11,-110.595,31.338,4659,10/21/20,0,42.5,65.5,88.6
Location 11,-110.595,31.338,4659,10/22/20,0,42.2,64.6,86.9
Location 11,-110.595,31.338,4659,10/23/20,0,44,63.4,82.8
Location 11,-110.595,31.338,4659,10/24/20,0,47,65.4,83.9
Location 11,-110.595,31.338,4659,10/25/20,0,48.8,67.1,85.4
Location 11,-110.595,31.338,4659,10/26/20,0,50.8,64.6,78.3
Location 11,-110.595,31.338,4659,10/27/20,0,19.8,42.1,64.4
Location 11,-110.595,31.338,4659,10/28/20,0,22,36.8,51.6
Location 11,-110.595,31.338,4659,10/29/20,0,28,46,64
Location 11,-110.595,31.338,4659,10/30/20,0,33.4,54.5,75.5
Location 11,-110.595,31.338,4659,10/31/20,0,35.8,58.1,80.3
Location 11,-110.595,31.338,4659,11/1/20,0,39.1,60.2,81.3
Location 11,-110.595,31.338,4659,11/2/20,0,46.3,65.7,85
Location 11,-110.595,31.338,4659,11/3/20,0,43.3,62.9,82.5
Location 11,-110.595,31.338,4659,11/4/20,0,43.1,64,84.9
Location 11,-110.595,31.338,4659,11/5/20,0,46.5,65.7,85
Location 11,-110.595,31.338,4659,11/6/20,0,49.5,67,84.6
Location 11,-110.595,31.338,4659,11/7/20,0,53.3,68.7,84.1
Location 11,-110.595,31.338,4659,11/8/20,0.12,43.4,59.2,74.9
Location 11,-110.595,31.338,4659,11/9/20,0,40.7,52.8,64.9
Location 11,-110.595,31.338,4659,11/10/20,0,25.2,40.3,55.4
Location 11,-110.595,31.338,4659,11/11/20,0,24.8,43.5,62.3
Location 11,-110.595,31.338,4659,11/12/20,0,26.2,47.8,69.4
Location 11,-110.595,31.338,4659,11/13/20,0,31.1,49,66.9
Location 11,-110.595,31.338,4659,11/14/20,0,33.1,50.4,67.7
Location 11,-110.595,31.338,4659,11/15/20,0,30,50.7,71.3
Location 11,-110.595,31.338,4659,11/16/20,0,31.2,54.3,77.5
Location 11,-110.595,31.338,4659,11/17/20,0,36.8,59.8,82.8
Location 11,-110.595,31.338,4659,11/18/20,0,43,63.9,84.8
Location 11,-110.595,31.338,4659,11/19/20,0,46.4,65.8,85.1
Location 11,-110.595,31.338,4659,11/20/20,0,43.5,63.1,82.7
Location 11,-110.595,31.338,4659,11/21/20,0,40.4,60.8,81.1
Location 11,-110.595,31.338,4659,11/22/20,0,41.7,61,80.4
Location 11,-110.595,31.338,4659,11/23/20,0,40.9,60.7,80.4
Location 11,-110.595,31.338,4659,11/24/20,0,39.8,56.8,73.9
Location 11,-110.595,31.338,4659,11/25/20,0,29,47,65
Location 11,-110.595,31.338,4659,11/26/20,0,28.6,48.7,68.8
Location 11,-110.595,31.338,4659,11/27/20,0,29.5,48.6,67.7
Location 11,-110.595,31.338,4659,11/28/20,0,22.8,40.3,57.7
Location 11,-110.595,31.338,4659,11/29/20,0,20.8,41.3,61.8
Location 11,-110.595,31.338,4659,11/30/20,0,20.5,44.4,68.4
Location 11,-110.595,31.338,4659,12/1/20,0,24.1,43.8,63.5
Location 11,-110.595,31.338,4659,12/2/20,0,21.1,44.3,67.5
Location 11,-110.595,31.338,4659,12/3/20,0,22,42.1,62.2
Location 11,-110.595,31.338,4659,12/4/20,0,26.6,37.7,48.8
Location 11,-110.595,31.338,4659,12/5/20,0,20.5,37.9,55.3
Location 11,-110.595,31.338,4659,12/6/20,0,19.3,39.6,60
Location 11,-110.595,31.338,4659,12/7/20,0,23.3,44.8,66.2
Location 11,-110.595,31.338,4659,12/8/20,0,28.3,47.2,66
Location 11,-110.595,31.338,4659,12/9/20,0,28,48.7,69.4
Location 11,-110.595,31.338,4659,12/10/20,0.39,35.4,53.6,71.9
Location 11,-110.595,31.338,4659,12/11/20,0.04,29.7,42.9,56.2
Location 11,-110.595,31.338,4659,12/12/20,0,27.1,43.6,60.1
Location 11,-110.595,31.338,4659,12/13/20,0,27.2,44.4,61.6
Location 11,-110.595,31.338,4659,12/14/20,0,23,39,55
Location 11,-110.595,31.338,4659,12/15/20,0,21.1,41.9,62.6
Location 11,-110.595,31.338,4659,12/16/20,0,14.4,33.8,53.1
Location 11,-110.595,31.338,4659,12/17/20,0,16.1,38.3,60.4
Location 11,-110.595,31.338,4659,12/18/20,0,23.3,46.1,68.9
Location 11,-110.595,31.338,4659,12/19/20,0,21.7,40.3,58.9
Location 11,-110.595,31.338,4659,12/20/20,0,18.9,40.2,61.5
Location 11,-110.595,31.338,4659,12/21/20,0,20.6,44.3,68
Location 11,-110.595,31.338,4659,12/22/20,0,24.5,47.2,69.8
Location 11,-110.595,31.338,4659,12/23/20,0,29.6,48.7,67.7
Location 11,-110.595,31.338,4659,12/24/20,0,23.6,43.2,62.8
Location 11,-110.595,31.338,4659,12/25/20,0,20.5,36.6,52.6
Location 11,-110.595,31.338,4659,12/26/20,0,26.7,45.4,64
Location 11,-110.595,31.338,4659,12/27/20,0,25.7,46.8,68
Location 11,-110.595,31.338,4659,12/28/20,0,29.7,49.6,69.5
Location 11,-110.595,31.338,4659,12/29/20,0.01,33.1,49.2,65.3
Location 11,-110.595,31.338,4659,12/30/20,0,19.6,34.3,49.1
Location 11,-110.595,31.338,4659,12/31/20,0,17.7,33.7,49.8
,,,,,,,,
Location 12,-110.358,33.435,3402,1/1/20,0,29.2,39.8,50.3
Location 12,-110.358,33.435,3402,1/2/20,0,28.8,42,55.1
Location 12,-110.358,33.435,3402,1/3/20,0,34,44.1,54.2
Location 12,-110.358,33.435,3402,1/4/20,0,29.6,42.8,56.1
Location 12,-110.358,33.435,3402,1/5/20,0,30.5,45.3,60.1
Location 12,-110.358,33.435,3402,1/6/20,0,30.8,47,63.2
Location 12,-110.358,33.435,3402,1/7/20,0,32.2,48.2,64.2
Location 12,-110.358,33.435,3402,1/8/20,0,32,46.6,61.2
Location 12,-110.358,33.435,3402,1/9/20,0,32.3,47.3,62.3
Location 12,-110.358,33.435,3402,1/10/20,0.08,34.5,45.4,56.2
Location 12,-110.358,33.435,3402,1/11/20,0,26.5,39.3,52.2
Location 12,-110.358,33.435,3402,1/12/20,0,26.1,39.8,53.6
Location 12,-110.358,33.435,3402,1/13/20,0,28.3,43.4,58.6
Location 12,-110.358,33.435,3402,1/14/20,0,30.1,46.3,62.6
Location 12,-110.358,33.435,3402,1/15/20,0,32.5,48.2,63.9
Location 12,-110.358,33.435,3402,1/16/20,0,36.9,49.5,62.2
Location 12,-110.358,33.435,3402,1/17/20,0.43,42.7,48.5,54.3
Location 12,-110.358,33.435,3402,1/18/20,0,34.1,45.9,57.7
Location 12,-110.358,33.435,3402,1/19/20,0,32.8,47,61.3
Location 12,-110.358,33.435,3402,1/20/20,0,36.4,50.3,64.2
Location 12,-110.358,33.435,3402,1/21/20,0.06,46.3,53.6,60.8
Location 12,-110.358,33.435,3402,1/22/20,0.27,44.6,47.8,51.1
Location 12,-110.358,33.435,3402,1/23/20,0,36.3,47.1,57.8
Location 12,-110.358,33.435,3402,1/24/20,0,34.9,49,63.1
Location 12,-110.358,33.435,3402,1/25/20,0,36.4,50,63.6
Location 12,-110.358,33.435,3402,1/26/20,0,35.8,49.9,63.9
Location 12,-110.358,33.435,3402,1/27/20,0,37.4,51.6,65.7
Location 12,-110.358,33.435,3402,1/28/20,0,40,51.2,62.4
Location 12,-110.358,33.435,3402,1/29/20,0,34.8,48.2,61.6
Location 12,-110.358,33.435,3402,1/30/20,0,34.3,46.7,59.2
Location 12,-110.358,33.435,3402,1/31/20,0,35,47.7,60.4
Location 12,-110.358,33.435,3402,2/1/20,0,33.3,47.5,61.6
Location 12,-110.358,33.435,3402,2/2/20,0,34.2,50.1,66.1
Location 12,-110.358,33.435,3402,2/3/20,0,36.2,51.9,67.6
Location 12,-110.358,33.435,3402,2/4/20,0,30.7,47.9,65.1
Location 12,-110.358,33.435,3402,2/5/20,0,26.8,36.4,46.1
Location 12,-110.358,33.435,3402,2/6/20,0,26.8,36.2,45.5
Location 12,-110.358,33.435,3402,2/7/20,0,29.9,42.7,55.5
Location 12,-110.358,33.435,3402,2/8/20,0,33.1,48,63
Location 12,-110.358,33.435,3402,2/9/20,0,33,50.2,67.5
Location 12,-110.358,33.435,3402,2/10/20,0.02,38.5,53.7,69
Location 12,-110.358,33.435,3402,2/11/20,0.44,42.1,54.1,66.1
Location 12,-110.358,33.435,3402,2/12/20,0.04,33,42.8,52.6
Location 12,-110.358,33.435,3402,2/13/20,0,31,43.5,56.1
Location 12,-110.358,33.435,3402,2/14/20,0,32.4,46,59.7
Location 12,-110.358,33.435,3402,2/15/20,0,36.2,50.3,64.3
Location 12,-110.358,33.435,3402,2/16/20,0,34.5,49.7,64.8
Location 12,-110.358,33.435,3402,2/17/20,0,33.1,50.6,68
Location 12,-110.358,33.435,3402,2/18/20,0,37.4,53,68.6
Location 12,-110.358,33.435,3402,2/19/20,0,38.1,54.2,70.2
Location 12,-110.358,33.435,3402,2/20/20,0,39.6,55.3,70.9
Location 12,-110.358,33.435,3402,2/21/20,0,38.9,55.5,72
Location 12,-110.358,33.435,3402,2/22/20,0.06,43.9,50.6,57.3
Location 12,-110.358,33.435,3402,2/23/20,1.25,43.5,49.2,55
Location 12,-110.358,33.435,3402,2/24/20,0,38.3,45.7,53.2
Location 12,-110.358,33.435,3402,2/25/20,0,34.8,49,63.2
Location 12,-110.358,33.435,3402,2/26/20,0,35.6,45.5,55.5
Location 12,-110.358,33.435,3402,2/27/20,0,29.7,42.1,54.5
Location 12,-110.358,33.435,3402,2/28/20,0,29.2,47.3,65.5
Location 12,-110.358,33.435,3402,2/29/20,0,38.2,53,67.7
Location 12,-110.358,33.435,3402,3/1/20,0,39.3,55.2,71.1
Location 12,-110.358,33.435,3402,3/2/20,0,40.9,53.9,66.9
Location 12,-110.358,33.435,3402,3/3/20,0,38,51.9,65.7
Location 12,-110.358,33.435,3402,3/4/20,0,40.1,53.1,66.1
Location 12,-110.358,33.435,3402,3/5/20,0,38.7,54.8,70.9
Location 12,-110.358,33.435,3402,3/6/20,0,39.4,55.9,72.5
Location 12,-110.358,33.435,3402,3/7/20,0,50.2,60.7,71.3
Location 12,-110.358,33.435,3402,3/8/20,0,50,63.1,76.3
Location 12,-110.358,33.435,3402,3/9/20,0,42.4,51.9,61.5
Location 12,-110.358,33.435,3402,3/10/20,0,42.3,55.8,69.2
Location 12,-110.358,33.435,3402,3/11/20,0.35,50,58.6,67.1
Location 12,-110.358,33.435,3402,3/12/20,0.15,53.5,61.8,70
Location 12,-110.358,33.435,3402,3/13/20,0.46,49.4,57.3,65.2
Location 12,-110.358,33.435,3402,3/14/20,0.04,40.6,51,61.5
Location 12,-110.358,33.435,3402,3/15/20,0,40.2,53.8,67.4
Location 12,-110.358,33.435,3402,3/16/20,0,41.6,56.9,72.2
Location 12,-110.358,33.435,3402,3/17/20,0,41.9,58,74.1
Location 12,-110.358,33.435,3402,3/18/20,0,43.3,58,72.7
Location 12,-110.358,33.435,3402,3/19/20,0.65,40.1,49.3,58.6
Location 12,-110.358,33.435,3402,3/20/20,0.08,35.7,46.1,56.6
Location 12,-110.358,33.435,3402,3/21/20,0,35.2,50.2,65.2
Location 12,-110.358,33.435,3402,3/22/20,0,43.8,56.9,70.1
Location 12,-110.358,33.435,3402,3/23/20,0,43,55.7,68.4
Location 12,-110.358,33.435,3402,3/24/20,0,43.2,56.6,70
Location 12,-110.358,33.435,3402,3/25/20,0,40.9,56,71
Location 12,-110.358,33.435,3402,3/26/20,0,41.3,58.5,75.6
Location 12,-110.358,33.435,3402,3/27/20,0,46.1,55.2,64.4
Location 12,-110.358,33.435,3402,3/28/20,0,33.3,43.3,53.2
Location 12,-110.358,33.435,3402,3/29/20,0,32.3,48,63.6
Location 12,-110.358,33.435,3402,3/30/20,0,40.8,56.1,71.4
Location 12,-110.358,33.435,3402,3/31/20,0,40.8,55.6,70.4
Location 12,-110.358,33.435,3402,4/1/20,0,40.4,58,75.7
Location 12,-110.358,33.435,3402,4/2/20,0,50.2,64.3,78.5
Location 12,-110.358,33.435,3402,4/3/20,0,45.3,61.6,77.9
Location 12,-110.358,33.435,3402,4/4/20,0,44.3,60.7,77.1
Location 12,-110.358,33.435,3402,4/5/20,0,45.7,61.3,77
Location 12,-110.358,33.435,3402,4/6/20,0,46.3,62.2,78.1
Location 12,-110.358,33.435,3402,4/7/20,0,46.2,62.2,78.2
Location 12,-110.358,33.435,3402,4/8/20,0,46.2,62,77.8
Location 12,-110.358,33.435,3402,4/9/20,0,49.2,64.6,80
Location 12,-110.358,33.435,3402,4/10/20,0,42.7,57.5,72.3
Location 12,-110.358,33.435,3402,4/11/20,0,42.1,59.1,76
Location 12,-110.358,33.435,3402,4/12/20,0,42.9,54.4,66
Location 12,-110.358,33.435,3402,4/13/20,0,47.1,57.2,67.3
Location 12,-110.358,33.435,3402,4/14/20,0.05,41.9,55.8,69.7
Location 12,-110.358,33.435,3402,4/15/20,0,40.2,54.9,69.6
Location 12,-110.358,33.435,3402,4/16/20,0,39.4,57.1,74.9
Location 12,-110.358,33.435,3402,4/17/20,0,44,61.5,79
Location 12,-110.358,33.435,3402,4/18/20,0,46.3,63.2,80
Location 12,-110.358,33.435,3402,4/19/20,0,43.9,59.1,74.3
Location 12,-110.358,33.435,3402,4/20/20,0,44.3,60.5,76.6
Location 12,-110.358,33.435,3402,4/21/20,0,49.5,65,80.5
Location 12,-110.358,33.435,3402,4/22/20,0,48.4,64,79.5
Location 12,-110.358,33.435,3402,4/23/20,0,50.6,65.9,81.3
Location 12,-110.358,33.435,3402,4/24/20,0,53,69.2,85.5
Location 12,-110.358,33.435,3402,4/25/20,0,55.6,72.5,89.3
Location 12,-110.358,33.435,3402,4/26/20,0,55.5,73.1,90.8
Location 12,-110.358,33.435,3402,4/27/20,0,54.8,74.3,93.9
Location 12,-110.358,33.435,3402,4/28/20,0,59.1,75.6,92.1
Location 12,-110.358,33.435,3402,4/29/20,0,59.6,76.5,93.4
Location 12,-110.358,33.435,3402,4/30/20,0,61.9,79.2,96.5
Location 12,-110.358,33.435,3402,5/1/20,0,62.8,79.2,95.5
Location 12,-110.358,33.435,3402,5/2/20,0,61.7,78.6,95.6
Location 12,-110.358,33.435,3402,5/3/20,0,61.6,77.9,94.2
Location 12,-110.358,33.435,3402,5/4/20,0,59.6,75.5,91.4
Location 12,-110.358,33.435,3402,5/5/20,0,57.7,74.7,91.7
Location 12,-110.358,33.435,3402,5/6/20,0,58.3,77,95.8
Location 12,-110.358,33.435,3402,5/7/20,0,59,78.7,98.4
Location 12,-110.358,33.435,3402,5/8/20,0,60.3,78.7,97.1
Location 12,-110.358,33.435,3402,5/9/20,0,60.7,77.8,94.9
Location 12,-110.358,33.435,3402,5/10/20,0,62.5,77.6,92.7
Location 12,-110.358,33.435,3402,5/11/20,0.1,60.6,74.4,88.3
Location 12,-110.358,33.435,3402,5/12/20,0,58.9,75.1,91.4
Location 12,-110.358,33.435,3402,5/13/20,0,59.1,73.5,88
Location 12,-110.358,33.435,3402,5/14/20,0,60.1,73.2,86.3
Location 12,-110.358,33.435,3402,5/15/20,0,55,70.1,85.3
Location 12,-110.358,33.435,3402,5/16/20,0,54.7,71.2,87.8
Location 12,-110.358,33.435,3402,5/17/20,0,59,75.4,91.7
Location 12,-110.358,33.435,3402,5/18/20,0,60.6,77.4,94.3
Location 12,-110.358,33.435,3402,5/19/20,0,58.4,77,95.6
Location 12,-110.358,33.435,3402,5/20/20,0,56.9,74.2,91.5
Location 12,-110.358,33.435,3402,5/21/20,0,50.7,66.2,81.7
Location 12,-110.358,33.435,3402,5/22/20,0,50.9,68.4,85.9
Location 12,-110.358,33.435,3402,5/23/20,0,51.7,70.7,89.6
Location 12,-110.358,33.435,3402,5/24/20,0,56.6,72.4,88.2
Location 12,-110.358,33.435,3402,5/25/20,0,58.1,72,85.9
Location 12,-110.358,33.435,3402,5/26/20,0,56.3,72.5,88.7
Location 12,-110.358,33.435,3402,5/27/20,0,58.1,75.7,93.4
Location 12,-110.358,33.435,3402,5/28/20,0,63.6,82.1,100.7
Location 12,-110.358,33.435,3402,5/29/20,0,69.5,86.2,103
Location 12,-110.358,33.435,3402,5/30/20,0.02,69.7,85.8,101.9
Location 12,-110.358,33.435,3402,5/31/20,0,68.2,85,101.9
Location 12,-110.358,33.435,3402,6/1/20,0,70.2,85.3,100.5
Location 12,-110.358,33.435,3402,6/2/20,0,68.7,84.1,99.4
Location 12,-110.358,33.435,3402,6/3/20,0,69.6,85.2,100.8
Location 12,-110.358,33.435,3402,6/4/20,0,69.9,86.3,102.6
Location 12,-110.358,33.435,3402,6/5/20,0,72.1,87.8,103.6
